subject,timing,session,run,trial,target,response,correct,pulse_count,trial_dur,wait_pre_stim
S1,shorter,1,1,1,0,0,True,4,8.47362313597,1.89132408828
S1,shorter,1,1,2,0,1,False,1,6.04659793347,2.23874832157
S1,shorter,1,1,3,0,0,True,2,6.87369387405,2.37000635085
S1,shorter,1,1,4,1,0,False,4,9.05159715089,1.21943530136
S1,shorter,1,1,5,1,1,True,1,4.587498547719999,2.14560834195
S1,shorter,1,1,6,1,1,True,5,10.315612733120002,2.5890912587400003
S1,shorter,1,1,7,1,1,True,4,9.99224771942,1.113079078
S1,shorter,1,1,8,0,0,True,2,4.70794666524,2.06679518298
S1,shorter,1,1,9,1,1,True,5,9.93507181197,1.26386990122
S1,shorter,1,1,10,1,1,True,4,7.464888350860001,1.03215586525
S1,shorter,1,1,11,0,0,True,4,9.94369895781,2.64259466387
S1,shorter,1,1,12,0,0,True,2,7.297119869049999,1.13707523451
S1,shorter,1,1,13,1,1,True,4,10.107428231899998,2.51321602046
S1,shorter,1,1,14,0,0,True,1,5.27866070195,3.69969782629
S1,shorter,1,1,15,1,1,True,1,5.59769994819,2.22648120943
S1,shorter,1,1,16,0,0,True,2,3.91471906551,1.15191659642
S1,shorter,1,1,17,0,1,False,2,5.45852673163,1.05307029047
S1,shorter,1,1,18,1,1,True,1,3.25506968321,1.87191341438
S1,shorter,1,1,19,1,1,True,2,5.11930166845,1.85045206997
S1,shorter,1,1,20,1,1,True,4,10.981505117820001,1.04298760321
S1,shorter,1,1,21,0,0,True,1,5.00679777074,2.60076884111
S1,shorter,1,1,22,1,1,True,1,6.2815851123,3.3121402894700003
S1,shorter,1,1,23,1,1,True,1,3.37894707237,1.29335357787
S1,shorter,1,1,24,1,0,False,3,9.79836330873,3.97024132556
S1,shorter,1,1,25,1,1,True,4,10.87817141471,1.34112835107
S1,shorter,1,1,26,1,1,True,1,4.43133091758,1.1926539907200002
S1,shorter,1,1,27,1,0,False,3,7.1700283133500005,1.33294124577
S1,shorter,1,1,28,0,0,True,1,4.45542179992,2.33694427983
S1,shorter,1,1,29,0,0,True,2,4.46813171374,1.2459326589
S1,shorter,1,1,30,1,1,True,4,8.41994492714,1.33333405114
S1,shorter,1,1,31,1,1,True,5,10.62375135827,1.68822924754
S1,shorter,1,1,32,0,0,True,3,11.205296161189999,2.17304803206
S1,shorter,1,1,33,0,0,True,3,7.61572817005,1.87158723352
S1,shorter,1,1,35,1,0,False,3,10.083407698,3.64913297305
S1,shorter,1,2,1,1,0,False,1,5.23430371077,2.77375096124
S1,shorter,1,2,2,1,0,False,3,9.07470510207,2.19345407597
S1,shorter,1,2,3,1,1,True,2,5.267387392990001,1.02355504876
S1,shorter,1,2,4,0,0,True,2,6.668640782919999,2.99776059783
S1,shorter,1,2,5,1,1,True,3,6.315676270190001,1.03228795634
S1,shorter,1,2,6,0,0,True,4,13.572774579,1.3879103593000002
S1,shorter,1,2,7,1,1,True,1,3.2152619258399997,1.20692146639
S1,shorter,1,2,8,1,1,True,1,3.4734368621699994,1.05587478373
S1,shorter,1,2,9,1,0,False,2,5.40231278699,1.4605422070200005
S1,shorter,1,2,10,1,0,False,3,6.977328494510001,1.03951929802
S1,shorter,1,2,11,0,0,True,3,9.14964144008,2.26480976083
S1,shorter,1,2,12,0,0,True,3,9.36634822634,3.97393743114
S1,shorter,1,2,13,0,0,True,5,12.340009725120002,1.3610833142200005
S1,shorter,1,2,14,1,1,True,2,5.791243238419999,1.5854226287
S1,shorter,1,2,15,0,0,True,1,3.0374993163300004,1.09901006695
S1,shorter,1,2,16,0,0,True,1,3.47355650808,1.24777577808
S1,shorter,1,2,17,0,1,False,5,13.57344212755,2.09553275985
S1,shorter,1,2,18,1,1,True,2,7.8080150403,2.24525283688
S1,shorter,1,2,19,1,1,True,2,6.765195511980001,1.80932175172
S1,shorter,1,2,20,1,1,True,1,5.19652177751,2.9569720952700003
S1,shorter,1,2,21,0,0,True,5,10.97939749925,1.7271150551700003
S1,shorter,1,2,22,0,1,False,2,7.57988343945,1.48892585835
S1,shorter,1,2,23,0,0,True,5,10.72936714194,1.97446649703
S1,shorter,1,2,24,1,1,True,5,9.65309078367,1.97842407208
S1,shorter,1,2,25,1,1,True,1,2.7947236303400005,1.07526976601
S1,shorter,1,2,26,0,0,True,3,6.84357561476,1.7090268195200002
S1,shorter,1,2,27,0,0,True,4,11.22490983914,1.70888289042
S1,shorter,1,2,28,1,0,False,2,9.610469171810001,2.57878854273
S1,shorter,1,2,29,0,0,True,4,9.92491263667,1.3562524606900002
S1,shorter,1,2,30,1,1,True,2,4.787728261780001,1.45754696753
S1,shorter,1,2,31,0,0,True,5,13.274912831400002,1.1273847849
S1,shorter,1,2,32,1,1,True,4,10.427009997139999,1.7445706362400002
